season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,pred_cnt
1,0,1,0,0,0,2,0.363478,0.696087,0.248539,801,1706.49083669109
1,0,1,0,1,1,1,0.196364,0.437273,0.248309,1349,1448.87149048424
1,0,1,0,2,1,1,0.2,0.590435,0.160296,1562,1491.40464405566
1,0,1,0,3,1,1,0.172727,0.599545,0.304627,1162,1538.70805065015
1,0,1,0,5,1,1,0.16087,0.537826,0.126548,1421,1489.63787202709
1,0,1,0,6,0,2,0.233333,0.49875,0.157963,1248,1362.51726767954
1,0,1,1,1,0,2,0.175833,0.5375,0.194017,1000,1417.4672443478
1,0,1,0,3,1,2,0.292174,0.741739,0.208317,1650,1764.93600068944
1,0,1,0,4,1,2,0.261667,0.538333,0.195904,1927,1789.45030198815
1,0,1,0,6,0,1,0.0591304,0.4,0.17197,981,1413.75115458109
1,0,1,0,2,1,2,0.223478,0.616957,0.129796,1985,1465.75115577543
1,0,1,0,3,1,3,0.2175,0.8625,0.29385,506,1403.07538802433
1,0,1,0,6,0,1,0.196522,0.651739,0.145365,1098,1248.89642586536
1,0,2,0,4,1,1,0.144348,0.437391,0.221935,1538,1594.80652202709
1,0,2,0,0,0,1,0.316522,0.457391,0.260883,1589,1924.6710734127
1,0,2,0,5,1,1,0.521667,0.516667,0.264925,2927,3420.92789880952
1,0,2,0,0,0,1,0.285217,0.407826,0.223235,1812,1885.73274007936
1,0,2,0,0,0,1,0.343478,0.68,0.125248,2402,1909.134725
1,0,3,0,6,0,2,0.384167,0.789167,0.251871,2077,2091.04013924964
1,0,3,0,2,1,1,0.2925,0.420833,0.12065,2133,2187.99878584656
1,0,3,0,3,1,2,0.295833,0.775417,0.22015,1891,1957.59162368451
1,0,3,0,2,1,2,0.317391,0.655652,0.184309,2056,1989.02032619048
1,0,3,0,4,1,1,0.415,0.602917,0.209579,2744,2667.54338955752
2,0,3,0,3,1,2,0.346957,0.839565,0.234261,2121,2165.63336607143
2,0,3,0,0,0,2,0.253043,0.493913,0.1843,1693,2396.05775
2,0,3,0,3,1,2,0.3,0.646667,0.172888,1536,2593.96747321429
2,0,4,0,0,0,1,0.378333,0.48,0.182213,3249,3079.36480769231
2,0,4,0,0,0,2,0.426667,0.8575,0.146767,2895,3080.20595238095
2,0,4,0,1,1,2,0.595652,0.716956,0.324474,3348,3885.76173292125
2,0,4,0,3,1,2,0.4125,0.819167,0.250617,2162,2513.56025
2,0,4,0,6,0,3,0.430833,0.888333,0.340808,795,2407.99225
2,0,4,0,4,1,1,0.459167,0.407083,0.325258,4189,3903.55581677019
2,0,4,0,6,0,2,0.46,0.887917,0.230725,4036,3080.57366666667
2,0,4,0,0,0,2,0.581667,0.810833,0.192175,4191,3992.84134523809
2,0,4,0,3,1,2,0.62,0.835417,0.3122,3872,3472.53827619048
2,0,5,0,6,0,1,0.52,0.54125,0.16045,4714,5056.94027579365
2,0,5,0,4,1,1,0.535,0.7475,0.189667,4864,4557.51207086246
2,0,5,0,5,1,2,0.5125,0.863333,0.179725,4105,4026.70208571428
2,0,5,0,6,0,2,0.520833,0.9225,0.13495,3409,3825.34620238095
2,0,5,0,1,1,1,0.5775,0.787917,0.126871,3958,4471.64211784395
2,0,5,0,3,1,2,0.55,0.87,0.201492,3855,3968.49773849206
2,0,5,0,5,1,1,0.536667,0.719583,0.125013,4917,4669.95144933468
2,0,5,0,0,0,1,0.604167,0.749583,0.148008,4660,4637.94543643579
2,0,5,0,6,0,1,0.655833,0.729583,0.230092,4758,4841.62236825397
2,0,5,0,2,1,1,0.775,0.636667,0.111329,3982,4617.42945335555
2,0,6,0,3,1,2,0.764167,0.677083,0.207092,3974,4438.95051157437
2,0,6,0,6,0,1,0.635,0.45625,0.123142,5342,5189.8528452381
2,0,6,0,0,0,2,0.648333,0.6525,0.138692,4906,4690.4438525641
2,0,6,0,1,1,1,0.678333,0.6,0.121896,4548,4701.89286004785
2,0,6,0,5,1,1,0.755,0.605,0.140554,4586,4729.77558653275
2,0,6,0,6,0,1,0.725,0.654583,0.15485,4966,5034.15481547619
2,0,6,0,1,1,1,0.635,0.494583,0.30535,5020,4824.04384210526
2,0,6,0,2,1,1,0.604167,0.507083,0.269283,4891,4940.6741754386
2,0,6,0,3,1,1,0.626667,0.471667,0.167912,5180,4870.56717262197
2,0,6,0,6,0,1,0.696667,0.670417,0.119408,5119,5044.49639880952
2,0,6,0,1,1,2,0.635,0.74625,0.155475,4010,4461.32147994506
3,0,6,0,3,1,1,0.733333,0.7075,0.172262,4507,4673.89288741669
3,0,6,0,1,1,2,0.6825,0.658333,0.107588,4708,4613.3392880364
3,0,6,0,2,1,1,0.744167,0.634167,0.144283,4648,4714.73858723631
3,0,7,0,6,0,1,0.738333,0.444583,0.115062,5119,4895.62274502078
3,0,7,0,5,1,2,0.709167,0.757917,0.225129,4040,4395.39000484445
3,0,7,0,0,0,1,0.7475,0.578333,0.183471,4881,4644.39111864715
3,0,7,0,2,1,1,0.794167,0.559167,0.200254,4258,4582.50267232973
3,0,7,0,4,1,1,0.680833,0.47625,0.240667,5084,4795.10439199371
3,0,7,0,5,1,1,0.663333,0.59125,0.182833,5538,4793.44735812827
3,0,7,0,0,0,1,0.83,0.550833,0.169171,3606,4199.41241836704
3,0,8,0,1,1,1,0.771667,0.550833,0.156717,4266,4596.4133125709
3,0,8,0,2,1,1,0.783333,0.49125,0.20585,4845,4691.26733759796
3,0,8,0,5,1,1,0.710833,0.630833,0.184696,4866,4770.38194687008
3,0,8,0,6,0,2,0.716667,0.755,0.22825,4294,4379.84100704225
3,0,8,0,1,1,1,0.765,0.592083,0.192175,4326,4529.68378380581
3,0,8,0,0,0,2,0.676667,0.8175,0.222633,3820,4170.30512608987
3,0,8,0,4,1,1,0.711667,0.654583,0.233208,3805,4651.4198296727
3,0,8,0,1,1,1,0.691667,0.47,0.27675,4758,4683.72061371713
3,0,8,0,2,1,1,0.640833,0.455417,0.146763,5895,4898.16924467991
3,0,8,0,5,1,1,0.7,0.76125,0.0839625,4661,4660.93652172009
3,0,8,0,0,0,1,0.707059,0.561765,0.304659,4334,4685.0994313929
3,0,9,1,1,0,2,0.673333,0.790417,0.212696,3351,4600.62738250013
3,0,9,0,2,1,3,0.54,0.886957,0.343943,2710,2814.90475704225
3,0,9,0,0,0,1,0.653333,0.71375,0.115054,5046,4842.78457244629
3,0,9,0,4,1,2,0.5775,0.709167,0.271146,3659,4449.67581345251
3,0,9,0,0,0,1,0.5075,0.695,0.178483,4274,4716.36351768439
3,0,9,0,4,1,2,0.628333,0.902083,0.128125,4795,3586.41471964286
4,0,9,0,1,1,2,0.649167,0.848333,0.1107,4630,4169.48498498168
4,0,10,0,0,0,2,0.356667,0.791667,0.222013,2918,3317.43311904762
4,0,10,0,5,1,1,0.510833,0.684167,0.0223917,4985,4897.33966205946
4,0,10,0,3,1,3,0.543333,0.90625,0.24815,2416,2672.82175
4,0,10,0,2,1,2,0.5325,0.701667,0.110087,4748,4397.25762577839
4,0,10,0,4,1,2,0.47,0.812917,0.197763,2659,3933.82439821429
4,0,11,0,2,1,1,0.400833,0.68375,0.135571,4068,3826.31067376775
4,0,11,0,5,1,2,0.403333,0.6225,0.271779,4046,3453.29354166667
4,0,11,0,0,0,1,0.348333,0.734583,0.0920542,3649,3635.63548687424
4,0,11,0,4,1,2,0.38,0.813333,0.189067,2933,3423.00650793651
4,0,11,1,5,0,1,0.324167,0.44625,0.314675,3368,3606.51138888889
4,0,11,0,4,1,2,0.341667,0.575833,0.305362,3053,3573.75588888889
4,0,11,0,5,1,1,0.274167,0.41,0.168533,3392,3445.83961866204
4,0,11,0,6,0,1,0.329167,0.502083,0.224496,3663,3712.95410425101
4,0,11,1,4,0,1,0.373333,0.549167,0.167304,1495,3738.74101633892
4,0,11,0,2,1,2,0.458333,0.830833,0.258092,2914,3064.51116904762
4,0,12,0,6,0,1,0.299167,0.612917,0.0957833,3614,3434.99781975773
4,0,12,0,5,1,1,0.290833,0.695833,0.0827167,3620,3536.31150984834
4,0,12,0,2,1,1,0.2825,0.59,0.14055,3523,3553.32401900585
4,0,12,0,3,1,2,0.3175,0.66375,0.0609583,3740,3476.63825396825
4,0,12,0,4,1,2,0.4225,0.634167,0.268042,3709,3365.30360119048
4,0,12,0,5,1,2,0.375,0.500417,0.260575,3577,3226.69076785714
4,0,12,0,0,0,1,0.238333,0.58625,0.169779,2431,3050.24045634921
1,0,12,0,5,1,1,0.311667,0.636667,0.134337,2999,2197.39255169677
1,1,1,1,1,0,1,0.273043,0.381304,0.329665,1951,2990.87800776933
1,1,1,0,2,1,1,0.15,0.44125,0.365671,2236,2795.23686892611
1,1,1,0,3,1,2,0.1075,0.414583,0.1847,2368,2796.95764166726
1,1,1,0,4,1,1,0.265833,0.524167,0.129987,3272,3482.40795141066
1,1,1,0,3,1,2,0.274167,0.8475,0.131221,2177,2625.348834196
1,1,1,0,0,0,1,0.166667,0.419167,0.251258,2311,2357.93731846027
1,1,1,0,2,1,2,0.373043,0.716087,0.34913,2935,3411.02546192607
1,1,1,0,4,1,1,0.19,0.4975,0.220158,3292,2860.93330565364
1,1,1,0,5,1,2,0.2175,0.45,0.20275,3163,2845.06822112134
1,1,1,0,1,1,2,0.218333,0.91125,0.110708,2432,2087.32786111111
1,1,1,0,3,1,1,0.294167,0.64375,0.161071,4270,3740.8491109186
1,1,1,0,4,1,2,0.341667,0.769583,0.0733958,4075,3294.60187387854
1,1,1,0,0,0,1,0.2825,0.31125,0.24005,3243,3204.94060012142
1,1,2,0,3,1,2,0.256667,0.722917,0.133721,2802,2691.56760800552
1,1,2,0,5,1,2,0.280833,0.54,0.116929,3831,3417.13594137331
1,1,2,0,1,1,1,0.2225,0.41125,0.167283,3422,2917.13066461412
1,1,2,1,1,0,1,0.28,0.507826,0.229083,3129,3123.48005630413
1,1,2,0,4,1,1,0.454167,0.554583,0.190913,5062,4677.2770769916
1,1,2,0,0,0,1,0.279167,0.41,0.205229,3389,3285.98024749856
1,1,3,0,1,1,1,0.243333,0.50625,0.228858,3333,3158.14144346028
1,1,3,0,0,0,1,0.361739,0.476957,0.222587,4911,3724.56725885158
1,1,3,0,3,1,1,0.5725,0.507083,0.115062,6312,5685.064834196
1,1,3,0,5,1,2,0.435833,0.842083,0.113192,4378,4549.22157329598
1,1,3,0,6,0,2,0.514167,0.755833,0.110704,7836,4865.01824206349
1,1,3,0,0,0,2,0.4725,0.81,0.126883,5892,4614.41907539683
1,1,3,0,1,1,1,0.545,0.72875,0.162317,6153,5360.3908857833
2,1,3,0,0,0,2,0.4375,0.880833,0.220775,4996,4129.58844047619
2,1,3,0,2,1,1,0.323333,0.29,0.187192,5102,4718.65082841482
2,1,3,0,4,1,1,0.494167,0.439167,0.31965,6133,5689.72017490842
2,1,4,0,2,1,1,0.466667,0.396667,0.100133,6772,6160.37669208072
2,1,4,0,4,1,1,0.435,0.374167,0.219529,6457,6009.40946047812
2,1,4,0,5,1,1,0.403333,0.377083,0.300388,6460,5309.13542525855
2,1,4,0,3,1,1,0.348696,0.469565,0.295274,4862,5015.7601161247
2,1,4,0,0,0,1,0.606667,0.507917,0.225129,7132,6382.73056455546
2,1,4,1,1,0,1,0.664167,0.561667,0.284829,6370,6280.22169153959
2,1,4,0,4,1,1,0.498333,0.6125,0.0659292,6565,6221.29884634664
2,1,5,0,2,1,2,0.613333,0.659583,0.156096,5740,6162.41146010296
2,1,5,0,4,1,2,0.56,0.768333,0.133696,6421,5711.82713867439
2,1,5,0,6,0,2,0.621667,0.756667,0.152992,6883,5570.89188272201
2,1,5,0,4,1,1,0.593333,0.52,0.229475,7384,6874.78609284953
2,1,5,0,5,1,1,0.564167,0.523333,0.136817,7639,6967.75990237334
2,1,5,0,6,0,1,0.6,0.45625,0.083975,8294,7118.15825854203
2,1,5,0,1,1,2,0.598333,0.81125,0.233204,4359,4463.5283529601
2,1,5,1,1,0,1,0.7125,0.67625,0.196521,6043,6437.80259828562
2,1,5,0,3,1,2,0.656667,0.67,0.134329,6855,6257.74612457664
2,1,6,0,2,1,2,0.653333,0.833333,0.214546,4972,4997.33448986486
2,1,6,0,6,0,1,0.631667,0.504167,0.166667,7702,7501.26888044937
3,1,6,0,4,1,1,0.805833,0.567917,0.118787,5905,6452.20984294872
3,1,6,0,5,1,1,0.7775,0.57375,0.182842,5823,6765.40528540904
3,1,6,0,0,0,1,0.743333,0.479167,0.145525,6891,6741.35464037
3,1,6,0,1,1,1,0.715833,0.504167,0.300383,6779,6882.74526140175
3,1,6,0,3,1,1,0.6975,0.36,0.271775,7335,7309.46165503529
3,1,6,0,4,1,1,0.749167,0.4225,0.17165,6879,7133.99098459813
3,1,6,0,5,1,1,0.834167,0.48875,0.165417,5463,6474.53652350427
3,1,7,0,4,1,1,0.8275,0.457917,0.194029,6241,6157.08096726191
3,1,7,0,4,1,1,0.715833,0.529583,0.146775,7446,7099.75319819703
3,1,7,0,4,1,1,0.77,0.600417,0.165429,6591,6616.84594742063
3,1,7,0,4,1,1,0.776667,0.596667,0.284813,6861,6473.00064583333
3,1,7,0,5,1,1,0.781667,0.594583,0.152992,6904,6581.15879861111
3,1,7,0,0,0,1,0.721667,0.62375,0.170396,6597,6487.07239632238
3,1,7,0,2,1,1,0.713333,0.704167,0.165425,7216,6646.36731277338
3,1,8,0,4,1,1,0.7525,0.659583,0.129354,7261,7106.12536951877
3,1,8,0,2,1,2,0.735833,0.70375,0.116908,7273,6468.31781902109
3,1,8,0,4,1,1,0.755833,0.620417,0.1561,7286,7064.74581197909
3,1,8,0,5,1,2,0.715833,0.715833,0.238813,5786,6285.98623767188
3,1,8,0,2,1,1,0.726667,0.686667,0.169158,6784,6883.46740305116
3,1,8,0,3,1,1,0.706667,0.619583,0.169771,7347,7370.57915106703
3,1,8,0,4,1,1,0.719167,0.519167,0.141796,7605,7224.58883578861
3,1,8,0,5,1,1,0.723333,0.570833,0.231354,7148,7276.59505404258
3,1,8,0,1,1,2,0.635833,0.734167,0.129979,6530,6120.41628153153
3,1,8,0,4,1,1,0.706667,0.590417,0.0771167,7713,7374.95213858364
3,1,9,0,3,1,1,0.736667,0.74125,0.187808,7112,6757.4476031746
3,1,9,0,6,0,2,0.659167,0.799167,0.281104,5976,5609.85403153153
3,1,9,0,3,1,1,0.599167,0.577083,0.131846,7870,7483.69962138898
3,1,9,0,4,1,1,0.6125,0.637083,0.0827208,7804,7631.89030791431
3,1,9,0,1,1,2,0.580833,0.734583,0.151742,6869,6166.18423391248
4,1,9,0,0,0,1,0.529167,0.467083,0.223258,7907,7163.26546576682
4,1,9,0,1,1,1,0.514167,0.492917,0.142404,7436,6975.08668997317
4,1,9,0,5,1,2,0.619167,0.69,0.164179,7415,6949.5094481982
4,1,9,0,6,0,1,0.5425,0.542917,0.227604,8555,7644.51182016243
4,1,10,0,2,1,3,0.590833,0.871667,0.104475,4639,4780.2095106982
4,1,10,0,3,1,2,0.6575,0.79375,0.0665458,7572,6022.69331724582
4,1,10,0,4,1,2,0.6575,0.722917,0.117546,7328,6706.6713567195
4,1,10,0,5,1,1,0.615,0.6275,0.10635,8156,7334.36663041125
4,1,10,0,6,0,1,0.554167,0.664167,0.268025,7965,7162.67178917952
4,1,10,0,3,1,1,0.514167,0.630833,0.187821,7691,7156.50249065799
4,1,10,0,6,0,1,0.393333,0.494583,0.146142,7109,5467.66321011842
4,1,10,0,6,0,1,0.484167,0.572917,0.117537,8090,7050.33403917952
4,1,10,0,2,1,1,0.544167,0.641667,0.0945458,7466,7075.22374949698
4,1,10,0,4,1,2,0.55,0.800417,0.124375,7359,6434.56831724581
4,1,10,0,1,1,3,0.44,0.88,0.3582,22,3905.86091666666
4,1,10,0,2,1,2,0.318182,0.825455,0.213009,1096,4297.295375
4,1,10,0,3,1,2,0.3575,0.666667,0.166667,5566,5248.58202380952
4,1,11,0,4,1,2,0.365833,0.581667,0.157346,5986,5016.12421642247
4,1,11,0,6,0,2,0.343333,0.49125,0.270529,5138,4986.71455555556
4,1,11,0,5,1,1,0.361667,0.540833,0.214558,5992,5285.21845784548
4,1,11,0,0,0,1,0.3425,0.692917,0.227612,4669,4563.5173556721
4,1,11,0,0,0,1,0.245833,0.468333,0.1505,2424,4016.06443503718
4,1,11,0,4,1,1,0.28087,0.555652,0.115522,5323,5013.59360464313
4,1,12,0,6,0,2,0.298333,0.806667,0.0597042,5191,4518.21050108225
4,1,12,0,2,1,1,0.475833,0.73375,0.174129,6606,5713.92765476191
4,1,12,0,4,1,1,0.255833,0.50875,0.174754,5375,4109.50347563069
4,1,12,0,5,1,2,0.320833,0.764167,0.1306,5008,4525.47908243146
4,1,12,0,1,1,2,0.435833,0.925,0.190308,5170,4353.0432797619
4,1,12,0,0,0,2,0.3625,0.83875,0.100742,3786,4311.6444018759
4,1,12,0,1,1,2,0.393333,0.907083,0.0982583,4585,4462.52399603175
4,1,12,0,3,1,1,0.3325,0.625417,0.184092,5267,5186.03801915209
1,1,12,0,3,1,3,0.243333,0.823333,0.316546,441,2320.55322705314
1,1,12,0,4,1,2,0.254167,0.652917,0.350133,2114,2816.1473033863
